Area,Floor,TotalFloor,Bedroom,Living Room,Bathroom,Price
40.6,6,7,2,2,1,53000
81.3,19,21,5,3,4,170000
20,5,7,2,2,1,43000
40,13,21,2,2,2,55000
42,2,7,2,2,2,48800
61.4,2,9,3,2,2,80000
16.9,2,9,1,1,1,35000
100,1,7,3,2,2,160000
59.1,6,12,3,2,2,70000
32,3,4,3,2,2,40000
44.4,3,12,5,1,1,56000
31.9,7,12,3,2,1,40000
18,2,7,2,1,1,38000
42.6,2,6,3,2,2,68000
21,9,12,2,2,1,60000
21.2,5,14,2,2,1,32000
60,11,12,2,2,2,58000
41.9,3,12,2,1,2,59888
34.6,2,7,3,2,2,38888
10.4,4,7,1,1,1,24888
21.7,6,7,2,2,1,39000
45.6,1,6,3,2,2,130000
26,2,4,2,1,1,31999
23,5,9,1,2,1,42000
38.9,6,13,3,2,2,49800
15.2,5,11,1,1,1,29500
72,10,17,4,2,3,100000
56,5,7,4,2,3,55000
29,11,14,3,2,2,61000
58,2,17,3,2,3,85000
65,7,16,5,2,3,55000
67,2,7,3,2,2,70000
60,5,7,4,2,2,78000
60,3,6,4,2,3,98000
40,3,12,3,2,2,50000
48.9,1,25,3,1,1,65000
33.5,3,7,3,2,2,55000
20,6,14,1,1,1,39000
18.5,4,4,1,1,1,22000
15.1,22,26,1,0,1,19000
42.6,4,7,2,2,2,88000
48.7,8,12,4,2,2,65000
18,8,9,1,2,1,45000
26,2,4,2,1,1,31800
20.2,5,12,2,2,1,34800
12,9,12,1,0,1,13000
18.5,9,12,2,2,1,46000
42.2,4,4,4,2,2,52000
49.8,4,7,4,2,2,57000
32.8,2,12,3,2,2,38000
35.2,8,12,3,2,2,40000
47.7,3,12,4,2,2,75000
32.8,2,12,3,2,2,43000
61.4,4,14,3,2,2,63000
61,9,15,4,2,2,110000
52.2,2,7,4,2,2,65000
56.1,5,12,3,2,2,70000
38.2,7,16,3,2,2,45000
44.6,3,7,3,2,2,44000
65,7,15,4,2,2,70000
62.6,2,5,5,2,2,100000
25.1,8,14,2,2,1,38000
40.5,6,7,2,2,1,55000
35.5,5,7,2,2,2,37000
30.9,2,7,4,2,2,58500
91.5,4,7,4,2,5,120000
43.3,6,14,4,2,2,69000
38.4,10,12,3,2,2,41000
32.4,10,12,2,2,2,45000
43.4,10,12,4,2,2,98000
53.7,6,7,4,2,2,75000
20.2,5,12,2,2,1,35000
41.8,6,7,3,2,2,33700
36.9,4,13,3,2,2,41000
35.3,4,16,3,2,2,40000
63.4,2,25,3,2,2,80000
57.7,5,7,4,2,2,78000
33.4,2,14,3,2,2,36000
17,5,5,2,0,1,11900
25,3,4,2,2,1,29800
30,1,6,3,2,2,35000
32,6,10,2,1,2,33000
26,4,13,2,2,1,32000
20,6,9,2,2,1,42000
26,2,4,3,1,1,34500
26,4,13,2,2,1,32000
14.7,2,12,1,1,1,29000
43,2,12,2,2,1,58000
23.5,8,12,2,1,1,35000
22.2,7,9,1,1,1,42000
53,6,7,3,2,2,54999
78.2,12,13,3,2,3,123456
20,5,7,3,2,2,28000
13.2,7,7,1,1,1,34000
22.3,11,14,2,1,1,40000
44,2,6,3,2,1,45000
38.4,4,11,4,2,2,50000
53.8,17,21,3,2,2,88000
53.1,2,14,4,2,2,100000
55,6,7,4,2,3,85000
56,4,15,3,2,2,99888
89.6,6,7,3,2,2,168000
26,2,18,1,2,1,51000
30,4,7,3,2,2,31000
38,17,24,3,2,2,85000
58,15,15,3,2,2,110000
22.4,3,12,2,2,2,45000
26.7,5,12,2,1,1,43000
81.8,4,7,3,2,3,90000
84.6,4,11,3,2,2,185000
