"","bedroom","living_room","bathroom","building_floor","total_floor","area","houseage","price"
"658",3,1,1,3,7,20.15,49,1988
"659",3,2,2,4,12,86.6,4,5538
"660",3,2,2,7,7,33.54,35,3188
"661",1,1,1,8,14,10.65,9,1270
"662",3,2,2,2,7,40.98,36,3488
"663",4,2,2,4,7,52.63,40,5180
"664",3,2,2,5,7,53.15,31,4350
"665",4,2,2,2,17,58.49,32,6350
"666",1,1,1,4,5,15.1,8,1780
"667",4,1,1,8,13,50.45,10,6800
"668",3,2,2,6,7,38.72,35,3580
"669",4,2,2,6,13,94.76,13,9360
"670",3,2,2,13,14,60.39,3,7088
"671",4,3,4,10,16,144.8,3,15000
"672",2,3,3,6,7,81.39,7,7880
"673",3,2,2,5,7,34.16,37,2250
"674",1,1,1,4,11,12.7,35,1398
"675",3,2,2,2,7,37.01,34,2800
"676",4,2,2,5,7,39.3,37,3138
"677",4,2,2,5,9,65.9,16,8000
"678",2,2,2,4,14,56.19,37,6180
"679",2,2,1,7,10,42.72,9,4580
"680",2,2,2,4,7,50.65,12,5300
"681",4,2,2,5,7,39.3,37,3138
"682",2,1,2,7,12,44.16,45,4680
"683",3,2,2,6,7,28.6,41,2580
"684",4,2,2,3,12,47.22,36,4180
"685",1,1,1,2,15,17.87,39,1588
"686",3,2,2,9,11,34.45,36,2400
"687",3,2,2,2,7,39.63,38,3980
"688",4,2,2,4,7,52.63,41,5180
"689",1,2,3,4,38,121.47,4,21800
"690",3,2,2,11,12,36.6,34,2680
"691",2,2,1,2,6,22.59,45,2188
"692",3,2,2,7,7,41.04,39,3880
"693",1,2,1,9,14,20.8,9,2450
"694",1,1,1,6,7,20.19,5,2520
"695",4,2,3,5,6,57.27,45,5800
"696",4,2,2,5,7,58.17,9,6350
"697",2,1,1,9,9,9.14,14,1288
"698",2,2,2,2,6,22.8,34,1998
"699",3,2,1,5,12,45.54,34,3980
"700",3,2,3,2,7,73.16,8,7500
"701",4,2,2,2,7,71.69,11,7600
"702",4,2,2,2,8,58.96,13,5833
"703",3,2,1,11,13,79.08,41,8200
"704",2,2,1,5,7,18.86,36,2180
"705",2,2,1,12,12,35.5,14,2380
"706",4,2,3,6,13,64.77,40,6180
"707",2,2,1,3,7,20.14,50,1988
"708",6,6,6,3,7,47.96,31,4588
"709",3,2,2,4,14,45.07,39,4498
"710",NA,NA,NA,4,12,33.67,38,2670
"711",1,1,1,10,12,27.9,11,2580
"712",2,1,1,6,7,21.5,30,2130
"713",3,2,2,3,7,38.82,40,3380
"714",4,2,2,10,25,79.24,29,7800
"715",5,2,3,2,14,136.02,40,15700
"716",NA,NA,NA,7,14,97.19,4,12280
"717",3,2,2,10,14,60.1,12,3900
"718",1,1,1,10,11,17.64,49,2280
"719",1,1,1,7,12,17.67,40,1766
"720",3,2,1,6,10,23.03,15,2188
"721",4,2,2,2,11,96.93,7,9998
"722",2,1,1,2,7,24.16,3,1980
"723",3,2,2,4,14,45.07,39,4800
"724",3,2,2,7,12,65.24,0,7980
"725",2,1,1,14,14,16.25,38,1980
"726",4,2,3,15,23,113.23,2,16998
"727",3,2,1,12,17,30.54,33,2588
"728",1,1,1,4,12,15.5,41,1980
"729",4,2,3,6,20,85.06,0,12450
"730",2,2,1,6,12,22.3,36,1980
"731",4,2,2,3,16,45,22,4285
"732",3,2,1,3,7,20.15,49,1988
"733",3,2,2,9,11,36.8,41,3260
"734",4,2,3,3,15,82.39,1,9000
"735",3,2,1,9,11,20.98,19,2500
"736",1,1,1,2,9,13,18,1498
"737",4,2,3,15,21,90.52,36,11020
"738",3,2,2,1,6,41.27,35,5500
"739",3,2,1,3,7,20.14,50,1988
"740",4,3,4,NA,NA,32.41,33,4200
"741",3,2,2,11,14,59.27,2,7180
"742",4,2,2,2,25,58.29,1,5918
"743",3,2,2,8,12,44.57,30,5705
"744",3,2,2,9,11,30.53,37,2780
"745",NA,NA,NA,4,8,18.57,8,1980
"746",4,2,2,7,7,100.07,10,14500
"747",3,2,2,4,8,38.55,12,4250
"748",4,2,2,11,16,49.97,37,4088
"749",2,1,1,7,10,13,12,1688
